Blast,500,North Indian|Chinese,Cuttack,Siba Bazaar,Casual Dining,11am :11pm,Good,3.8,810
New Mughlai,500,North Indian|Chinese|Biryani|Rolls,Cuttack,Siba Bazaar,Quick Bites,11am :115pm|11am :116pm,Good,3.7,687
Bawarchi Restaurant,400,North Indian|Chinese|Biryani,Cuttack,Siba Bazaar,Quick Bites,11am :11pm|11am :111pm,Good,3.7,366
Sher E Punjab,400,North Indian|Chinese,Cuttack,Sutahat,Casual Dining,12noon :3pm|530pm :12midnight,Good,3.7,366
Faltu Restaurant,700,Chinese|Indian|North Indian,Cuttack,Mal Godown Market,Casual Dining,11am :11pm|11am...,Good,3.6,277
The Cocktail,500,North Indian|Chinese|Continental,Cuttack,Police Colony,Casual Dining,1130am :11pm,Good,3.9,252
Domino's Pizza,500,Pizza|Fast Food,Cuttack,Siba Bazaar,Quick Bites,11am :11pm,Good,3.6,511
The Chocolate Room,600,Cafe|Desserts,Cuttack,Siba Bazaar,Café,11am :1030pm...,Good,3.6,182
DFC Dada's Biryani,400,Biryani|Chinese|North Indian,Cuttack,Buxi Bazaar,Casual Dining,Closed|1230pm :1030pm,Good,3.8,372
Hashim's,800,Biryani|Indian|Mughlai,Cuttack,CDA Sector 6,Casual Dining,11am :11pm,Good,3.7,384
Filmy Food Restaurant,600,North Indian|Chinese,Cuttack,CDA Sector 6,Casual Dining,1230pm :1030pm,Good,3.6,438
Pizza Station,400,Bakery,Cuttack,Police Colony,Quick Bites,11am :11pm,Good,3.6,158
Mirchi,500,North Indian|Chinese,Cuttack,Buxi Bazaar,Quick Bites,12noon :11pm,Good,3.7,213
Dragon Inn,300,Chinese|Momos,Cuttack,Buxi Bazaar,Casual Dining,12noon :1030pm,Good,3.6,197
Dexter's,500,Chinese|North Indian|Kebab,Cuttack,CDA Sector 6,Casual Dining,12noon :1030pm,Good,3.8,345
La Cafeotheque CDA,500,Cafe,Cuttack,CDA Sector 6,Café,930am :1030pm,Good,3.7,307
Golden Spoon,600,Chinese|Asian|North Indian,Cuttack,Buxi Bazaar,Casual Dining,12noon :330pm|7pm :11pm,Good,3.5,231
KFC,500,Fast Food,Cuttack,Mal Godown Market,Quick Bites,11am :11pm,Good,3.7,244
Biggies Burger 'n' More,400,Fast Food|Burger,Cuttack,Siba Bazaar,Quick Bites,1030am :1030pm,Good,3.7,258
Urban Kitchen,400,North Indian|Chinese,Cuttack,Sutahat,Quick Bites,Closed|1230pm :11pm,Good,3.5,164
Green Chillyz,450,North Indian|Chinese,Cuttack,CDA Sector 6,Quick Bites,12noon :11pm,Average,3.4,314
Biryani Zoint,500,Biryani|Rolls|Kebab,Cuttack,Sutahat,Quick Bites,12noon :1030pm,Average,3.3,188
Damas Food Junction,200,South Indian|North Indian,Cuttack,CDA Sector 6,Quick Bites,10am :1030pm,Good,3.7,209
Hotel Mahabir Galaxy,500,Chinese|North Indian,Cuttack,Buxi Bazaar,Casual Dining,7am :1030pm,Good,3.6,228
Biriyani Box,200,North Indian|Biryani,Cuttack,Buxi Bazaar,Casual Dining,1130am :11pm,Good,3.6,128
Khusiyaan Restaurant,400,North Indian|South Indian|Chinese,Cuttack,Siba Bazaar,Casual Dining,1130am :4pm|6pm :1030pm,Good,3.5,180
Saanj Restaurant,600,North Indian|Chinese,Cuttack,CDA Sector 6,Casual Dining,11am :12midnight|11am :11pm,Good,3.6,145
Tastry,400,North Indian|Chinese|South Indian,Cuttack,Buxi Bazaar,Quick Bites,11am :11pm,Good,3.7,110
Mr Grill,400,Rolls|Kebab|Biryani,Cuttack,CDA Sector 6,Quick Bites,11am :230pm|5pm :1045pm,Good,3.6,100
Meals and Memories,500,North Indian|Chinese,Cuttack,Buxi Bazaar,Quick Bites,1130am :11pm|1130am :115pm,Good,3.8,93
Foodistan,500,North Indian|Chinese|Biryani,Cuttack,CDA Sector 6,none,1130am :4pm|630pm :1030pm,Good,3.5,120
Shiraz Golden Restaurant,500,North Indian|Biryani,Cuttack,Mal Godown Market,Casual Dining,12noon :4pm|7pm :11pm,Average,3.4,233
Picnic,400,North Indian|Chinese,Cuttack,CDA Sector 6,Quick Bites,1230pm :1030pm,Good,3.6,115
Hotel Neeladri,500,Chinese|North Indian,Cuttack,Siba Bazaar,Casual Dining,11am :250pm|7pm :1050pm,Good,3.7,87
Hotel Ray Delight,350,Chinese|Fast Food,Cuttack,Naya Bazaar,Quick Bites,1130am :11pm,Average,3.2,25
Mirchi,500,North Indian|Chinese,Cuttack,Mal Godown Market,Casual Dining,12noon :11pm,Good,3.5,113
Bawarchi Fast Food,300,Biryani|North Indian,Cuttack,Siba Bazaar,Quick Bites,11am :10pm,Good,3.7,194
ICE- Indian Chicken Express,300,Fast Food,Cuttack,Buxi Bazaar,Quick Bites,11am :10pm,Good,3.7,173
FoodCo Online,250,Fast Food|North Indian,Cuttack,Buxi Bazaar,none,11am :10pm,Good,3.6,143
Jugaad Jn,300,North Indian|Rajasthani,Cuttack,Buxi Bazaar,Quick Bites,11am :10pm,Good,3.8,66
Hunger Truck,300,Fast Food,Cuttack,Siba Bazaar,Food Truck,5am :11am,Good,3.6,170
Wrap Up,400,Cafe,Cuttack,Siba Bazaar,Café,10am :11pm,Average,3.4,83
Nanking,300,Chinese,Cuttack,Buxi Bazaar,Quick Bites,11am :11pm,Good,3.5,67
The Broast,200,Fast Food,Cuttack,CDA Sector 6,Quick Bites,Closed|5pm :10pm,Good,3.5,257
Hunger Lounge,500,Cafe,Cuttack,CDA Sector 6,Café,11am :10pm,Average,3.2,101
Tisha's Spice Route,500,North Indian|Chinese|Mughlai|South Indian,Cuttack,Siba Bazaar,Quick Bites,11am :11pm,Good,3.5,119
Waffle Bites,300,Desserts,Cuttack,Siba Bazaar,Dessert Parlor,1030am :11pm,Good,3.6,85
Dal-Chini,400,North Indian,Cuttack,Mal Godown Market,Quick Bites,11am :3pm|6pm :11pm,Good,3.6,83
Biriyani With Love,200,Biryani,Cuttack,Kalyani Nagar,Casual Dining,11am :11pm,Average,3.4,63
The Hungry Bird,500,North Indian,Cuttack,Kalyani Nagar,Quick Bites,11am :11pm,Average,3.2,90
Cuttruck The Cuttack Food Truck,150,Fast Food,Cuttack,Siba Bazaar,Quick Bites,5pm :10pm,Average,3.4,37
Bake Shake,300,Bakery,Cuttack,Naya Bazaar,Bakery,11am :9pm,Good,3.7,74
Hotel Asha,250,North Indian,Cuttack,Siba Bazaar,Casual Dining,12noon :4pm|7pm :11pm,Good,3.5,54
Dama Maharaj Sweets,100,Street Food|Mithai,Cuttack,Buxi Bazaar,Sweet Shop,10am :10pm,Good,3.5,103
Mom's,400,North Indian|Chinese,Cuttack,Naya Bazaar,Quick Bites,11am :3pm|7pm :11pm,Average,3.4,81
Biriyani Box,350,Biryani|Hyderabadi,Cuttack,Buxi Bazaar,Quick Bites,12noon :11pm,Average,3.3,137
Food Masti,300,South Indian|Chinese|Fast Food|Indian,Cuttack,Buxi Bazaar,Quick Bites,8am :10pm,Good,3.6,53
Gay Top,300,Chinese|North Indian,Cuttack,Sutahat,Quick Bites,12noon :3pm|7pm :1030pm,Average,3.3,139
Momo's,300,Fast Food,Cuttack,Siba Bazaar,Quick Bites,9am :10pm,Average,3.3,74
Nilkantha Sweets,200,Mithai,Cuttack,Naya Bazaar,Sweet Shop,7am :9pm,Average,3.4,108
U Me Aur Hum,100,Street Food,Cuttack,Buxi Bazaar,none,1130am :930pm,Good,3.7,82
Vyanjan Restaurant,300,North Indian|South Indian,Cuttack,Naya Bazaar,Casual Dining,9am :330pm|5pm :1015pm,Good,3.5,50
Glitter Latte,300,Cafe,Cuttack,Buxi Bazaar,Café,11am :9pm,Average,3.3,66
Mahabir Delight,500,North Indian|Chinese,Cuttack,Sutahat,Quick Bites,12noon :4pm|630pm :1030pm,Good,3.6,56
Khushi Veg Fast Food,200,Fast Food,Cuttack,Siba Bazaar,Quick Bites,530pm :10pm,Average,3.4,66
Cake Bazaar,200,Bakery,Cuttack,Buxi Bazaar,Bakery,10am :10pm,Not rated,-,-
Paani Drinks Ka Destination,300,Fast Food|Juices,Cuttack,CDA Sector 6,Quick Bites,8am :10pm,Average,3.3,40
Mahaveer Sweets,250,Mithai|Fast Food,Cuttack,Naya Bazaar,Sweet Shop,7am :10pm,Average,3.3,85
Lemon Restaurant,400,North Indian,Cuttack,CDA Sector 6,Casual Dining,12noon :11pm,Average,3.4,118
Guchi's,800,North Indian|Chinese,Cuttack,Mal Godown Market,Casual Dining,11am :1130pm,Average,3.4,95
Cafe Corner & Restaurant,350,Fast Food|Cafe|Chinese|North Indian,Cuttack,Naya Bazaar,Quick Bites,11am :930pm,Average,3.3,19
Shawarma Corner,150,Lebanese,Cuttack,Siba Bazaar,Quick Bites,530pm :10pm,Good,3.5,40
Aditya Restaurant,500,North Indian,Cuttack,Buxi Bazaar,Casual Dining,11am :11pm,Average,3.4,73
